1460000001,2,2017-12-15 00:00:28,2017-12-15 00:15:43,N,1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,2.1,1.50,11,0.5,0.5.1,1.25,0,Unnamed: 17,0.3,13.55,1.1,Unnamed: 21,Unnamed: 22,Unnamed: 23,yellow,0.11,1.2,1.2.1,28,20,3.80,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
1460000002,2,2017-12-15 00:33:12,2017-12-15 00:51:04,N,1,,,,,3,2.53,13.0,0.5,0.5,2.86,0.0,,0.3,17.16,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000003,2,2017-12-15 00:56:59,2017-12-15 00:59:51,N,1,,,,,3,0.06,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000004,2,2017-12-15 00:09:19,2017-12-15 00:18:54,N,1,,,,,5,1.47,8.5,0.5,0.5,1.96,0.0,,0.3,11.76,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000005,2,2017-12-15 00:21:02,2017-12-15 00:25:30,N,1,,,,,5,0.23,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000006,2,2017-12-15 00:35:38,2017-12-15 01:26:19,N,1,,,,,5,18.48,58.0,0.5,0.5,9.76,5.76,,0.3,76.77,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000007,1,2017-12-15 00:48:29,2017-12-15 01:01:42,N,1,,,,,1,2.6,11.5,0.5,0.5,2.55,0.0,,0.3,15.35,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000008,2,2017-12-15 00:09:01,2017-12-15 00:11:57,N,1,,,,,1,0.85,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000009,2,2017-12-15 00:32:00,2017-12-15 00:35:42,N,1,,,,,1,0.48,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
1460000010,2,2017-12-15 00:42:13,2017-12-15 00:54:48,N,1,,,,,1,2.09,10.5,0.5,0.5,2.36,0.0,,0.3,14.16,1,,,,yellow,0.11,1.0,1.2,28.0,20.0,3.8,,,,,,,,,,,,,,,,,,,,
